2024-01-31 16:38:42.604
sensor: 'C14-10 vs CRef1', channels: 101
sensor: 'C14-11 vs CRef1', channels: 102
sensor: 'C14-12 vs CRef1', channels: 103
sensor: 'C14-13 vs CRef1', channels: 104
sensor: 'C14-14 vs CRef1', channels: 105
sensor: 'C14-15 vs CRef1', channels: 106
sensor: 'C14-16 vs CRef1', channels: 107
sensor: 'C14-17 vs CRef1', channels: 109
sensor: 'C14-18 vs CRef1', channels: 110
sensor: 'C14-19 vs CRef1', channels: 111
temperature: 'Omega RTD 4 Wire (Solution)', channels: 108
notes: '30 PPT NaCl, Chicago Data, New Chloride Sensors and (LL References removed)'
**********
2024-01-31 17:20:47.235,101,13.341870 mV
2024-01-31 17:20:47.903,102,18.592310 mV
2024-01-31 17:20:48.570,103,30.766420 mV
2024-01-31 17:20:49.237,104,-1.509380 mV
2024-01-31 17:20:49.905,105,19.869660 mV
2024-01-31 17:20:50.572,106,9.010910 mV
2024-01-31 17:20:51.239,107,11.523550 mV
2024-01-31 17:20:51.915,108,22.360000 C
2024-01-31 17:20:52.592,109,8.222270 mV
2024-01-31 17:20:53.259,110,25.745380 mV
2024-01-31 17:20:53.926,111,17.528620 mV
2024-01-31 17:22:47.235,101,13.354350 mV
2024-01-31 17:22:47.903,102,18.602540 mV
2024-01-31 17:22:48.570,103,30.769890 mV
2024-01-31 17:22:49.237,104,-1.495500 mV
2024-01-31 17:22:49.904,105,19.882200 mV
2024-01-31 17:22:50.572,106,9.022550 mV
2024-01-31 17:22:51.239,107,11.537630 mV
2024-01-31 17:22:51.915,108,22.351000 C
2024-01-31 17:22:52.592,109,8.238600 mV
2024-01-31 17:22:53.259,110,25.757410 mV
2024-01-31 17:22:53.927,111,17.541480 mV
2024-01-31 17:24:47.235,101,13.366880 mV
2024-01-31 17:24:47.903,102,18.615400 mV
2024-01-31 17:24:48.570,103,30.778830 mV
2024-01-31 17:24:49.237,104,-1.481290 mV
2024-01-31 17:24:49.905,105,19.895250 mV
2024-01-31 17:24:50.572,106,9.041840 mV
2024-01-31 17:24:51.239,107,11.552490 mV
2024-01-31 17:24:51.915,108,22.342000 C
2024-01-31 17:24:52.592,109,8.253260 mV
2024-01-31 17:24:53.259,110,25.769620 mV
2024-01-31 17:24:53.927,111,17.554850 mV
2024-01-31 17:26:47.235,101,13.378710 mV
2024-01-31 17:26:47.903,102,18.625100 mV
2024-01-31 17:26:48.570,103,30.755490 mV
2024-01-31 17:26:49.237,104,-1.467910 mV
2024-01-31 17:26:49.904,105,19.906500 mV
2024-01-31 17:26:50.572,106,9.058360 mV
2024-01-31 17:26:51.239,107,11.565730 mV
2024-01-31 17:26:51.915,108,22.331000 C
2024-01-31 17:26:52.592,109,8.271010 mV
2024-01-31 17:26:53.259,110,25.781000 mV
2024-01-31 17:26:53.927,111,17.566230 mV
2024-01-31 17:28:47.235,101,13.390990 mV
2024-01-31 17:28:47.903,102,18.640410 mV
2024-01-31 17:28:48.570,103,30.792400 mV
2024-01-31 17:28:49.237,104,-1.454280 mV
2024-01-31 17:28:49.904,105,19.918780 mV
2024-01-31 17:28:50.572,106,9.066790 mV
2024-01-31 17:28:51.239,107,11.580580 mV
2024-01-31 17:28:51.915,108,22.322000 C
2024-01-31 17:28:52.592,109,8.288300 mV
2024-01-31 17:28:53.259,110,25.792320 mV
2024-01-31 17:28:53.926,111,17.578060 mV
2024-01-31 17:30:47.235,101,13.401350 mV
2024-01-31 17:30:47.903,102,18.649600 mV
2024-01-31 17:30:48.570,103,30.798120 mV
2024-01-31 17:30:49.237,104,-1.441680 mV
2024-01-31 17:30:49.904,105,19.930540 mV
2024-01-31 17:30:50.572,106,9.083050 mV
2024-01-31 17:30:51.239,107,11.594470 mV
2024-01-31 17:30:51.914,108,22.313000 C
2024-01-31 17:30:52.592,109,8.300260 mV
2024-01-31 17:30:53.259,110,25.803570 mV
2024-01-31 17:30:53.926,111,17.590090 mV
2024-01-31 17:32:47.235,101,13.412730 mV
2024-01-31 17:32:47.903,102,18.662460 mV
2024-01-31 17:32:48.570,103,30.806090 mV
2024-01-31 17:32:49.237,104,-1.429270 mV
2024-01-31 17:32:49.904,105,19.941150 mV
2024-01-31 17:32:50.572,106,9.095970 mV
2024-01-31 17:32:51.239,107,11.607140 mV
2024-01-31 17:32:51.915,108,22.304000 C
2024-01-31 17:32:52.592,109,8.317430 mV
2024-01-31 17:32:53.259,110,25.814050 mV
2024-01-31 17:32:53.926,111,17.601340 mV
2024-01-31 17:34:47.235,101,13.423400 mV
2024-01-31 17:34:47.903,102,18.674100 mV
2024-01-31 17:34:48.570,103,30.813610 mV
2024-01-31 17:34:49.237,104,-1.417380 mV
2024-01-31 17:34:49.904,105,19.952790 mV
2024-01-31 17:34:50.572,106,9.109990 mV
2024-01-31 17:34:51.239,107,11.620770 mV
2024-01-31 17:34:51.915,108,22.295000 C
2024-01-31 17:34:52.592,109,8.333570 mV
2024-01-31 17:34:53.259,110,25.824790 mV
2024-01-31 17:34:53.926,111,17.611950 mV
2024-01-31 17:36:47.235,101,13.433560 mV
2024-01-31 17:36:47.903,102,18.682000 mV
2024-01-31 17:36:48.570,103,30.811170 mV
2024-01-31 17:36:49.237,104,-1.406130 mV
2024-01-31 17:36:49.905,105,19.962760 mV
2024-01-31 17:36:50.572,106,9.125680 mV
2024-01-31 17:36:51.239,107,11.634270 mV
2024-01-31 17:36:51.915,108,22.287000 C
