2024-01-26 16:10:51.035
sensor: 'C14-10 vs CRef1', channels: 101
sensor: 'C14-11 vs CRef1', channels: 102
sensor: 'C14-12 vs CRef1', channels: 103
sensor: 'C14-13 vs CRef1', channels: 104
sensor: 'C14-14 vs CRef1', channels: 105
sensor: 'C14-15 vs CRef1', channels: 106
sensor: 'C14-16 vs CRef1', channels: 107
sensor: 'C14-17 vs CRef1', channels: 109
sensor: 'C14-18 vs CRef1', channels: 110
sensor: 'C14-19 vs CRef1', channels: 111
sensor: 'LLR3-3(Sat KCl) vs CRef1', channels: 112
sensor: 'LLR3-6(1M KCl) vs CRef1', channels: 113
temperature: 'Omega RTD 4 Wire (Solution)', channels: 108
notes: '30 PPT NaCl, Chicago Data, New Chloride Sensors and LL References'
**********
2024-01-26 16:39:02.357,111,16.721980 mV
2024-01-26 16:39:03.024,112,-14.249160 mV
2024-01-26 16:39:03.691,113,-4.038030 mV
2024-01-26 16:40:55.665,101,13.332040 mV
2024-01-26 16:40:56.333,102,17.681260 mV
2024-01-26 16:40:57.000,103,27.288910 mV
2024-01-26 16:40:57.667,104,2.062960 mV
2024-01-26 16:40:58.334,105,19.481000 mV
2024-01-26 16:40:59.002,106,12.468430 mV
2024-01-26 16:40:59.669,107,11.428400 mV
2024-01-26 16:41:00.345,108,22.207000 C
2024-01-26 16:41:01.022,109,9.995070 mV
2024-01-26 16:41:01.689,110,22.483200 mV
2024-01-26 16:41:02.356,111,16.716320 mV
2024-01-26 16:41:03.024,112,28.731430 mV
2024-01-26 16:41:03.691,113,36.982760 mV
2024-01-26 16:42:55.665,101,13.327920 mV
2024-01-26 16:42:56.333,102,17.746190 mV
2024-01-26 16:42:57.000,103,27.273290 mV
2024-01-26 16:42:57.667,104,2.057430 mV
2024-01-26 16:42:58.334,105,19.476560 mV
2024-01-26 16:42:59.002,106,12.460520 mV
2024-01-26 16:42:59.669,107,11.422160 mV
2024-01-26 16:43:00.344,108,22.210000 C
2024-01-26 16:43:01.022,109,9.988510 mV
2024-01-26 16:43:01.689,110,22.477800 mV
2024-01-26 16:43:02.356,111,16.710210 mV
2024-01-26 16:43:03.024,112,-21.383520 mV
2024-01-26 16:43:03.691,113,-13.894700 mV
2024-01-26 16:44:55.665,101,13.319110 mV
2024-01-26 16:44:56.333,102,17.670330 mV
2024-01-26 16:44:57.000,103,27.284860 mV
2024-01-26 16:44:57.667,104,2.045540 mV
2024-01-26 16:44:58.334,105,19.469810 mV
2024-01-26 16:44:59.002,106,12.453830 mV
2024-01-26 16:44:59.669,107,11.413290 mV
2024-01-26 16:45:00.344,108,22.214000 C
2024-01-26 16:45:01.022,109,9.989540 mV
2024-01-26 16:45:01.689,110,22.472070 mV
2024-01-26 16:45:02.356,111,16.703140 mV
2024-01-26 16:45:03.024,112,-28.626970 mV
2024-01-26 16:45:03.691,113,-16.367410 mV
2024-01-26 16:46:55.665,101,13.311850 mV
2024-01-26 16:46:56.333,102,17.666600 mV
2024-01-26 16:46:57.000,103,27.275920 mV
2024-01-26 16:46:57.667,104,2.037180 mV
2024-01-26 16:46:58.335,105,19.464150 mV
2024-01-26 16:46:59.002,106,12.436470 mV
2024-01-26 16:46:59.669,107,11.405440 mV
2024-01-26 16:47:00.345,108,22.218000 C
2024-01-26 16:47:01.022,109,9.984980 mV
2024-01-26 16:47:01.689,110,22.466220 mV
2024-01-26 16:47:02.357,111,16.695870 mV
2024-01-26 16:47:03.024,112,-39.731770 mV
2024-01-26 16:47:03.691,113,-32.783170 mV
2024-01-26 16:48:55.665,101,13.304260 mV
2024-01-26 16:48:56.333,102,17.660940 mV
2024-01-26 16:48:57.000,103,27.272260 mV
2024-01-26 16:48:57.667,104,2.027600 mV
2024-01-26 16:48:58.334,105,19.457460 mV
2024-01-26 16:48:59.002,106,12.438920 mV
2024-01-26 16:48:59.669,107,11.398500 mV
2024-01-26 16:49:00.345,108,22.223000 C
2024-01-26 16:49:01.022,109,9.977260 mV
2024-01-26 16:49:01.689,110,22.461660 mV
2024-01-26 16:49:02.356,111,16.689000 mV
2024-01-26 16:49:03.024,112,-1.930840 mV
2024-01-26 16:49:03.691,113,1.621130 mV
2024-01-26 16:50:55.665,101,13.298410 mV
2024-01-26 16:50:56.333,102,17.653480 mV
2024-01-26 16:50:57.000,103,27.266860 mV
2024-01-26 16:50:57.667,104,2.018980 mV
2024-01-26 16:50:58.335,105,19.452710 mV
2024-01-26 16:50:59.002,106,12.429340 mV
2024-01-26 16:50:59.669,107,11.392010 mV
2024-01-26 16:51:00.345,108,22.226000 C
2024-01-26 16:51:01.022,109,9.973730 mV
2024-01-26 16:51:01.689,110,22.457930 mV
2024-01-26 16:51:02.357,111,16.683270 mV
2024-01-26 16:51:03.024,112,-26.670930 mV
2024-01-26 16:51:03.691,113,-19.065410 mV
2024-01-26 16:52:55.665,101,13.294420 mV
2024-01-26 16:52:56.333,102,17.653420 mV
2024-01-26 16:52:57.000,103,27.267180 mV
2024-01-26 16:52:57.667,104,2.013580 mV
2024-01-26 16:52:58.335,105,19.449560 mV
2024-01-26 16:52:59.002,106,12.431330 mV
2024-01-26 16:52:59.669,107,11.389560 mV
2024-01-26 16:53:00.345,108,22.229000 C
2024-01-26 16:53:01.022,109,9.969230 mV
2024-01-26 16:53:01.689,110,22.455870 mV
2024-01-26 16:53:02.356,111,16.679990 mV
2024-01-26 16:53:03.024,112,11.831200 mV
2024-01-26 16:53:03.691,113,12.678480 mV
2024-01-26 16:54:55.665,101,13.292110 mV
2024-01-26 16:54:56.333,102,17.650780 mV
2024-01-26 16:54:57.000,103,27.266020 mV
2024-01-26 16:54:57.667,104,2.008310 mV
2024-01-26 16:54:58.335,105,19.446920 mV
2024-01-26 16:54:59.002,106,12.426380 mV
2024-01-26 16:54:59.669,107,11.387180 mV
2024-01-26 16:55:00.345,108,22.231000 C
2024-01-26 16:55:01.022,109,9.967300 mV
2024-01-26 16:55:01.690,110,22.454780 mV
2024-01-26 16:55:02.357,111,16.677360 mV
2024-01-26 16:55:03.024,112,11.608360 mV
2024-01-26 16:55:03.691,113,11.391300 mV
2024-01-26 16:56:55.665,101,13.289920 mV
2024-01-26 16:56:56.333,102,17.648590 mV
2024-01-26 16:56:57.000,103,27.266210 mV
2024-01-26 16:56:57.667,104,2.004070 mV
2024-01-26 16:56:58.334,105,19.445120 mV
2024-01-26 16:56:59.002,106,12.422840 mV
2024-01-26 16:56:59.669,107,11.384550 mV
2024-01-26 16:57:00.345,108,22.233000 C
2024-01-26 16:57:01.022,109,9.971610 mV
2024-01-26 16:57:01.689,110,22.454130 mV
2024-01-26 16:57:02.357,111,16.675430 mV
2024-01-26 16:57:03.024,112,-26.910430 mV
2024-01-26 16:57:03.691,113,-22.201730 mV
2024-01-26 16:58:55.665,101,13.288440 mV
2024-01-26 16:58:56.333,102,17.647370 mV
2024-01-26 16:58:57.000,103,27.267180 mV
2024-01-26 16:58:57.667,104,2.000080 mV
2024-01-26 16:58:58.334,105,19.444410 mV
2024-01-26 16:58:59.002,106,12.422460 mV
2024-01-26 16:58:59.669,107,11.383520 mV
2024-01-26 16:59:00.345,108,22.234000 C
2024-01-26 16:59:01.022,109,9.971090 mV
2024-01-26 16:59:01.689,110,22.454970 mV
2024-01-26 16:59:02.356,111,16.674460 mV
2024-01-26 16:59:03.024,112,-20.283990 mV
2024-01-26 16:59:03.691,113,-16.560360 mV
2024-01-26 17:00:55.665,101,13.287610 mV
2024-01-26 17:00:56.333,102,17.648400 mV
2024-01-26 17:00:57.000,103,27.268980 mV
2024-01-26 17:00:57.667,104,1.997380 mV
2024-01-26 17:00:58.335,105,19.443000 mV
2024-01-26 17:00:59.002,106,12.419820 mV
2024-01-26 17:00:59.669,107,11.383520 mV
2024-01-26 17:01:00.345,108,22.235000 C
2024-01-26 17:01:01.022,109,9.969290 mV
2024-01-26 17:01:01.689,110,22.456130 mV
2024-01-26 17:01:02.356,111,16.673890 mV
2024-01-26 17:01:03.024,112,41.015390 mV
2024-01-26 17:01:03.691,113,38.747970 mV
2024-01-26 17:02:55.665,101,13.287540 mV
2024-01-26 17:02:56.333,102,17.651040 mV
2024-01-26 17:02:57.000,103,27.272130 mV
2024-01-26 17:02:57.667,104,1.995200 mV
2024-01-26 17:02:58.335,105,19.443700 mV
2024-01-26 17:02:59.002,106,12.421430 mV
2024-01-26 17:02:59.669,107,11.383970 mV
2024-01-26 17:03:00.345,108,22.237000 C
2024-01-26 17:03:01.022,109,9.963570 mV
2024-01-26 17:03:01.689,110,22.456320 mV
2024-01-26 17:03:02.356,111,16.673370 mV
2024-01-26 17:03:03.024,112,-38.580380 mV
2024-01-26 17:03:03.691,113,-38.040370 mV
2024-01-26 17:04:55.665,101,13.287740 mV
2024-01-26 17:04:56.333,102,17.648920 mV
2024-01-26 17:04:57.000,103,27.273480 mV
2024-01-26 17:04:57.667,104,1.993140 mV
2024-01-26 17:04:58.334,105,19.443060 mV
2024-01-26 17:04:59.002,106,12.419630 mV
2024-01-26 17:04:59.669,107,11.383900 mV
2024-01-26 17:05:00.344,108,22.239000 C
2024-01-26 17:05:01.022,109,9.962220 mV
2024-01-26 17:05:01.689,110,22.458440 mV
2024-01-26 17:05:02.356,111,16.674590 mV
2024-01-26 17:05:03.024,112,33.913710 mV
2024-01-26 17:05:03.691,113,33.349270 mV
2024-01-26 17:06:55.665,101,13.288960 mV
2024-01-26 17:06:56.333,102,17.653480 mV
2024-01-26 17:06:57.000,103,27.277140 mV
2024-01-26 17:06:57.667,104,1.992300 mV
2024-01-26 17:06:58.334,105,19.444540 mV
2024-01-26 17:06:59.002,106,12.420590 mV
2024-01-26 17:06:59.669,107,11.385640 mV
2024-01-26 17:07:00.345,108,22.238000 C
2024-01-26 17:07:01.022,109,9.963180 mV
2024-01-26 17:07:01.689,110,22.460310 mV
2024-01-26 17:07:02.357,111,16.675620 mV
2024-01-26 17:07:03.024,112,-6.782390 mV
2024-01-26 17:07:03.691,113,-8.901420 mV
2024-01-26 17:08:55.665,101,13.289340 mV
2024-01-26 17:08:56.333,102,17.653740 mV
2024-01-26 17:08:57.000,103,27.280490 mV
2024-01-26 17:08:57.667,104,1.990050 mV
2024-01-26 17:08:58.334,105,19.445120 mV
2024-01-26 17:08:59.002,106,12.422650 mV
2024-01-26 17:08:59.669,107,11.385510 mV
2024-01-26 17:09:00.345,108,22.238000 C
2024-01-26 17:09:01.022,109,9.964730 mV
2024-01-26 17:09:01.689,110,22.462560 mV
2024-01-26 17:09:02.356,111,16.676330 mV
2024-01-26 17:09:03.024,112,29.336310 mV
2024-01-26 17:09:03.691,113,28.466470 mV
2024-01-26 17:10:55.665,101,13.290500 mV
2024-01-26 17:10:56.333,102,17.657150 mV
2024-01-26 17:10:57.000,103,27.284540 mV
2024-01-26 17:10:57.667,104,1.989410 mV
2024-01-26 17:10:58.335,105,19.447560 mV
2024-01-26 17:10:59.002,106,12.420660 mV
2024-01-26 17:10:59.669,107,11.387120 mV
2024-01-26 17:11:00.345,108,22.239000 C
2024-01-26 17:11:01.022,109,9.967620 mV
2024-01-26 17:11:01.689,110,22.464550 mV
2024-01-26 17:11:02.357,111,16.677230 mV
2024-01-26 17:11:03.024,112,-50.594010 mV
2024-01-26 17:11:03.691,113,-48.842680 mV
2024-01-26 17:12:55.665,101,13.292040 mV
2024-01-26 17:12:56.333,102,17.658500 mV
2024-01-26 17:12:57.000,103,27.288650 mV
2024-01-26 17:12:57.667,104,1.988440 mV
2024-01-26 17:12:58.334,105,19.448980 mV
2024-01-26 17:12:59.002,106,12.428820 mV
2024-01-26 17:12:59.669,107,11.389050 mV
2024-01-26 17:13:00.345,108,22.239000 C
2024-01-26 17:13:01.022,109,9.968200 mV
2024-01-26 17:13:01.689,110,22.468150 mV
2024-01-26 17:13:02.356,111,16.679090 mV
2024-01-26 17:13:03.024,112,-33.914960 mV
2024-01-26 17:13:03.691,113,-35.248430 mV
2024-01-26 17:14:55.665,101,13.294040 mV
2024-01-26 17:14:56.333,102,17.659850 mV
2024-01-26 17:14:57.000,103,27.291030 mV
